position,name,ms_level,polarity,retention_time,height,area,mz,neutral_mass,adducts,p_value,quantitation_mass,CI_1.mzXML retention_time,CI_1.mzXML height,CI_1.mzXML mz,CI_10.mzXML retention_time,CI_10.mzXML height,CI_10.mzXML mz,CI_11.mzXML retention_time,CI_11.mzXML height,CI_11.mzXML mz,CI_13.mzXML retention_time,CI_13.mzXML height,CI_13.mzXML mz,CI_15.mzXML retention_time,CI_15.mzXML height,CI_15.mzXML mz,CI_16.mzXML retention_time,CI_16.mzXML height,CI_16.mzXML mz,CI_17.mzXML retention_time,CI_17.mzXML height,CI_17.mzXML mz,CI_18.mzXML retention_time,CI_18.mzXML height,CI_18.mzXML mz,CI_19.mzXML retention_time,CI_19.mzXML height,CI_19.mzXML mz,CI_20.mzXML retention_time,CI_20.mzXML height,CI_20.mzXML mz,CI_21.mzXML retention_time,CI_21.mzXML height,CI_21.mzXML mz,CI_22.mzXML retention_time,CI_22.mzXML height,CI_22.mzXML mz,CI_26.mzXML retention_time,CI_26.mzXML height,CI_26.mzXML mz,CI_27.mzXML retention_time,CI_27.mzXML height,CI_27.mzXML mz,CI_28.mzXML retention_time,CI_28.mzXML height,CI_28.mzXML mz,CI_29.mzXML retention_time,CI_29.mzXML height,CI_29.mzXML mz,CI_31.mzXML retention_time,CI_31.mzXML height,CI_31.mzXML mz,CI_32.mzXML retention_time,CI_32.mzXML height,CI_32.mzXML mz,CI_33.mzXML retention_time,CI_33.mzXML height,CI_33.mzXML mz,CI_34.mzXML retention_time,CI_34.mzXML height,CI_34.mzXML mz,CI_35.mzXML retention_time,CI_35.mzXML height,CI_35.mzXML mz,CI_36.mzXML retention_time,CI_36.mzXML height,CI_36.mzXML mz,CI_37.mzXML retention_time,CI_37.mzXML height,CI_37.mzXML mz,CI_38.mzXML retention_time,CI_38.mzXML height,CI_38.mzXML mz,CI_4.mzXML retention_time,CI_4.mzXML height,CI_4.mzXML mz,CI_5.mzXML retention_time,CI_5.mzXML height,CI_5.mzXML mz,CI_6.mzXML retention_time,CI_6.mzXML height,CI_6.mzXML mz,CI_8.mzXML retention_time,CI_8.mzXML height,CI_8.mzXML mz,CI_9.mzXML retention_time,CI_9.mzXML height,CI_9.mzXML mz,SP_CL_1_1.mzXML retention_time,SP_CL_1_1.mzXML height,SP_CL_1_1.mzXML mz,SP_CL_1_2.mzXML retention_time,SP_CL_1_2.mzXML height,SP_CL_1_2.mzXML mz,SP_CL_2_1.mzXML retention_time,SP_CL_2_1.mzXML height,SP_CL_2_1.mzXML mz,SP_CL_2_2.mzXML retention_time,SP_CL_2_2.mzXML height,SP_CL_2_2.mzXML mz,SP_CL_3_2.mzXML retention_time,SP_CL_3_2.mzXML height,SP_CL_3_2.mzXML mz
11,#11 75.0300@4.3970 MS1+,1,+,4.396966666666667,838043.903823052,7.84916420206693E7,75.03001658121745,74.02314277091472,"[M+18.03382]! (M+NH4), [M+1.00728]! (M+H)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,#12 146.0813@4.3970 MS1+,1,+,4.396966666666667,1938026.2403852087,7.84916420206693E7,146.08130536760603,123.09239162722159,"[M+22.98922] (M+Na), [M+1.00728]! (M+H)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,#13 191.0895@4.3970 MS1+,1,+,4.396966666666667,1.5339040633674353E8,7.84916420206693E7,191.08946183148552,190.08345790378942,"[M+22.98922] (M+Na), [M+1.00728]! (M+H), [M+84.06765]2 (M+2ACN+2H)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,#14 211.1318@4.3970 MS1+,1,+,4.396966666666667,2.0088592360443127E8,7.84916420206693E7,211.13181484446807,193.09740366363678,"[M+18.03382]! (M+NH4), [M+43.04110]2 (M+ACN+2H), [M+1.00728]! (M+H)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,#15 150.0853@4.3970 MS1+,1,+,4.396966666666667,4.114886739115035E7,7.84916420206693E7,150.08526656206917,132.05213359275209,"[M+61.06534] (M+IsoProp+H), [M+42.03382] (M+ACN+H), [M+18.03382]! (M+NH4)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,#16 164.1232@4.3970 MS1+,1,+,4.396966666666667,2.4453803831521913E7,7.84916420206693E7,164.1231918334961,146.0906897035472,"[M+18.03382]! (M+NH4), [M+1.00728]! (M+H), [M+64.01577] (M+ACN+Na), [M+33.03349] (M+CH3OH+H)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,#17 419.2496@4.3970 MS1+,1,+,4.396966666666667,1.0885578624778725E7,7.84916420206693E7,419.2496140423943,209.11895000747052,"[2M+38.96316] (2M+K), [2M+1.00728] (2M+H)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,#18 149.0789@4.3970 MS1+,1,+,4.396966666666667,1.0510906754234916E7,7.84916420206693E7,149.0788735782399,148.07511046102172,"[M+44.97116] (M+2Na-H), [M+1.00728]! (M+H), [M+18.03382]! (M+NH4)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,#19 192.1122@4.3970 MS1+,1,+,4.396966666666667,3423417.519902817,7.84916420206693E7,192.11216430664064,178.10000575876688,"[2M+28.02312]2 (2M+3H2O+2H), [M+1.00728]! (M+H)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,#20 137.1122@4.3970 MS1+,1,+,4.396966666666667,1.1442373107011322E7,7.84916420206693E7,137.11221986658433,95.07599050226189,"[M+42.03382] (M+ACN+H), [M+1.00728]! (M+H)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
